name,year,flavor,variable,n_values,scale_factor,weighted_avg,mean,std_dev
FastOverFull,2016,isB,PT,10,1.05,1.033,1.038,0.038
FastOverFull,2016,isB,Eta,10,1.05,1.05,1.05,0.025
FastOverFull,2016,isC,PT,10,1.05,1.084,1.099,0.166
FastOverFull,2016,isC,Eta,10,1.05,1.091,1.096,0.044
FastOverFull,2016,isLight,PT,10,1.05,1.031,1.038,0.122
FastOverFull,2016,isLight,Eta,10,1.05,1.046,1.057,0.059
FastOverFull,2017,isB,PT,10,1.025,1.029,1.031,0.019
FastOverFull,2017,isB,Eta,10,1.025,1.025,1.025,0.014
FastOverFull,2017,isC,PT,10,1.025,1.011,0.947,0.128
FastOverFull,2017,isC,Eta,10,1.025,1.009,1.009,0.035
FastOverFull,2017,isLight,PT,10,1.025,1.007,0.993,0.06
FastOverFull,2017,isLight,Eta,10,1.025,1.028,1.041,0.047
FastOverFull,2018,isB,PT,10,1.02,1.016,1.016,0.02
FastOverFull,2018,isB,Eta,10,1.02,1.02,1.019,0.01
FastOverFull,2018,isC,PT,10,1.02,1.024,0.988,0.085
FastOverFull,2018,isC,Eta,10,1.02,1.021,1.021,0.028
FastOverFull,2018,isLight,PT,10,1.02,1.039,1.025,0.055
FastOverFull,2018,isLight,Eta,10,1.02,1.057,1.065,0.029
