name,year,flavor,variable,n_values,scale_factor,weighted_avg,mean,std_dev
FullOverFast,2016,isB,PT,10,0.953,0.966,0.964,0.035
FullOverFast,2016,isB,Eta,10,0.953,0.951,0.953,0.022
FullOverFast,2016,isC,PT,10,0.953,0.919,0.935,0.171
FullOverFast,2016,isC,Eta,10,0.953,0.913,0.914,0.036
FullOverFast,2016,isLight,PT,10,0.953,0.963,0.98,0.145
FullOverFast,2016,isLight,Eta,10,0.953,0.946,0.949,0.055
FullOverFast,2017,isB,PT,10,0.975,0.972,0.97,0.018
FullOverFast,2017,isB,Eta,10,0.975,0.975,0.976,0.014
FullOverFast,2017,isC,PT,10,0.975,0.984,1.082,0.195
FullOverFast,2017,isC,Eta,10,0.975,0.988,0.993,0.036
FullOverFast,2017,isLight,PT,10,0.975,0.992,1.011,0.068
FullOverFast,2017,isLight,Eta,10,0.975,0.968,0.963,0.042
FullOverFast,2018,isB,PT,10,0.981,0.983,0.984,0.019
FullOverFast,2018,isB,Eta,10,0.981,0.98,0.981,0.01
FullOverFast,2018,isC,PT,10,0.981,0.974,1.021,0.1
FullOverFast,2018,isC,Eta,10,0.981,0.977,0.981,0.028
FullOverFast,2018,isLight,PT,10,0.981,0.962,0.979,0.054
FullOverFast,2018,isLight,Eta,10,0.981,0.944,0.94,0.025
